"","n","allee","allee.f","initial.slope","slope.after.thresh"
"162",228,TRUE,"with Allee effect",0.85228986770955,2.67772060436352
"163",230,TRUE,"with Allee effect",1.1218363793119,3.1153149949348
"164",231,FALSE,"without Allee effect",1.13681456453755,1.86598756852697
"165",232,TRUE,"with Allee effect",0.865291647045616,1.9805503346473
"166",233,FALSE,"without Allee effect",0.868755466721767,1.26226289547981
"167",234,TRUE,"with Allee effect",1.46763574967711,1.53530884229313
"168",236,TRUE,"with Allee effect",0.746392540025946,3.22517470929035
"169",237,FALSE,"without Allee effect",0.69514541847165,1.54052457358297
"170",238,TRUE,"with Allee effect",1.24059524908599,1.74238073897049
"171",239,FALSE,"without Allee effect",0.941285591391542,1.62523639095877
"172",240,TRUE,"with Allee effect",0.900480560779823,2.28915572606512
"173",244,TRUE,"with Allee effect",0.888818255885238,2.88911319727494
"174",246,TRUE,"with Allee effect",0.54712908289244,2.74498882698504
"175",247,FALSE,"without Allee effect",0.800763699784851,1.60438609424097
"176",248,TRUE,"with Allee effect",0.303566622869046,1.02253899666197
"177",250,TRUE,"with Allee effect",0.586113210793435,3.65572840845295
"178",251,FALSE,"without Allee effect",1.26052748117628,0.0595101201747001
"179",252,TRUE,"with Allee effect",1.5527856424427,0.00828494354980136
"180",253,FALSE,"without Allee effect",1.08614757709976,1.89749192943417
"181",254,TRUE,"with Allee effect",0.379695923647112,5.81412720621383
"182",256,TRUE,"with Allee effect",0.685882760781852,3.39865335902344
"183",258,TRUE,"with Allee effect",0.562087271484301,2.01897225786064
"184",260,TRUE,"with Allee effect",0.752020971067292,3.95651503692763
"185",261,FALSE,"without Allee effect",0.876005001212705,1.82684181492501
"186",262,TRUE,"with Allee effect",0.547531544646789,3.11181372194077
"187",264,TRUE,"with Allee effect",0.773031221409521,2.39743818349628
"188",266,TRUE,"with Allee effect",0.80573933643956,2.32946831803541
"189",267,FALSE,"without Allee effect",0.975390209366872,1.88317923401343
"190",268,TRUE,"with Allee effect",0.0654953048197584,4.47514219224007
"191",269,FALSE,"without Allee effect",1.41931607469265,2.28984119784967
"192",270,TRUE,"with Allee effect",0.304014884429164,18.3609970028706
"193",271,FALSE,"without Allee effect",0.744591719919561,1.55729017942921
"194",272,TRUE,"with Allee effect",0.821511040966867,2.44526438314349
"195",274,TRUE,"with Allee effect",0.805051810748957,3.41326888716818
"196",275,FALSE,"without Allee effect",0.767082094947229,1.73935551181349
"197",276,TRUE,"with Allee effect",0.610031490930063,1.90683535172633
"198",277,FALSE,"without Allee effect",1.1965801660493,2.22709195916484
"199",278,TRUE,"with Allee effect",0.746142856713737,1.9335859191794
"200",280,TRUE,"with Allee effect",0.72337926211773,2.41276170233623
"201",281,FALSE,"without Allee effect",1.27797040858877,1.84430140750584
"202",282,TRUE,"with Allee effect",0.631294813818541,2.48732390003966
"203",283,FALSE,"without Allee effect",0.808139277435271,2.16049935956515
"204",284,TRUE,"with Allee effect",0.65097334936782,1.88723123695212
"205",285,FALSE,"without Allee effect",0.928011243309633,1.9896324333882
"206",286,TRUE,"with Allee effect",0.841077164116048,2.19221603227316
"207",287,FALSE,"without Allee effect",1.07097272587713,1.84888946546817
"208",288,TRUE,"with Allee effect",0.375422854159363,7.26007099855613
"209",289,FALSE,"without Allee effect",0.964035952554089,1.85667416873648
"210",290,TRUE,"with Allee effect",0.796760425022185,2.61277513593075
"211",293,FALSE,"without Allee effect",1.06668075425857,1.81740654720965
"212",294,TRUE,"with Allee effect",0.771544251855047,1.75647000752264
"213",296,TRUE,"with Allee effect",0.444438557916342,10.9638554725955
"214",297,FALSE,"without Allee effect",0.53527644928628,1.74031901265478
"215",298,TRUE,"with Allee effect",0.698624703556838,2.15694508278579
"216",300,TRUE,"with Allee effect",1.01968506469257,3.33607209084394
"217",301,FALSE,"without Allee effect",1.10341128074348,2.23850226815924
"218",302,TRUE,"with Allee effect",0.877865963480639,1.8946270990368
"219",305,FALSE,"without Allee effect",1.16851373525222,2.2286091051327
"220",306,TRUE,"with Allee effect",0.641894344348163,2.0419235980534
"221",307,FALSE,"without Allee effect",1.02856915219673,1.67052905401179
"222",308,TRUE,"with Allee effect",0.847042578948557,1.9655553555437
"223",309,FALSE,"without Allee effect",0.664031488522966,1.90567759601289
"224",310,TRUE,"with Allee effect",0.957174071698636,1.96499564735246
"225",312,TRUE,"with Allee effect",1.20343366847571,2.6664913785678
"226",313,FALSE,"without Allee effect",0.536052900240219,1.72405360362303
"227",314,TRUE,"with Allee effect",0.267667269638591,6.36317639443555
"228",315,FALSE,"without Allee effect",0.925934704578537,1.86192297688513
"229",316,TRUE,"with Allee effect",0.726617576459267,2.49690551404125
"230",317,FALSE,"without Allee effect",0.882697175550778,1.96957427444439
"231",318,TRUE,"with Allee effect",0.766383937846827,1.86428729559401
"232",320,TRUE,"with Allee effect",0.872670968366715,3.08376797994313
"233",321,FALSE,"without Allee effect",0.694767567993165,1.7068339305587
"234",322,TRUE,"with Allee effect",0.21821689964533,3.70380077128349
"235",323,FALSE,"without Allee effect",1.57023646979406,0.0273816179898057
"236",324,TRUE,"with Allee effect",0.228285894100206,5.86580879235131
"237",325,FALSE,"without Allee effect",1.02678158566369,1.7376016125766
"238",326,TRUE,"with Allee effect",0.934749750240848,2.4866849647766
"239",327,FALSE,"without Allee effect",1.1096843746681,2.16810664545424
"240",328,TRUE,"with Allee effect",0.745235294285456,2.07512288829461
"241",329,FALSE,"without Allee effect",0.919308828474431,1.99419069718421
"242",330,TRUE,"with Allee effect",0.289497177366082,2.45284067622248
"243",332,TRUE,"with Allee effect",0.706388754483211,3.28676037588245
"244",333,FALSE,"without Allee effect",0.895238514524621,1.89536259286806
"245",334,TRUE,"with Allee effect",0.668146308408862,2.05930374488549
"246",335,FALSE,"without Allee effect",1.0192672607768,2.07850508588575
"247",336,TRUE,"with Allee effect",0.347474414748584,10.0808640069788
"248",338,TRUE,"with Allee effect",1.29784370824992,2.44154857895218
"249",339,FALSE,"without Allee effect",0.979387578888848,2.35561464837541
"250",340,TRUE,"with Allee effect",0.58672887736771,3.29898723194902
"251",341,FALSE,"without Allee effect",0.893084796083495,2.12717910955404
"252",342,TRUE,"with Allee effect",0.817504313038623,2.2269297500915
"253",343,FALSE,"without Allee effect",1.08312440668344,2.1448917707752
"254",344,TRUE,"with Allee effect",0.596248538837688,2.72066395275938
"255",346,TRUE,"with Allee effect",0.9389973896331,2.4275144847113
"256",347,FALSE,"without Allee effect",0.836501267717111,2.12862040023276
"257",348,TRUE,"with Allee effect",1.06142434626239,2.41739373722949
"258",349,FALSE,"without Allee effect",0.671377252538622,1.73798621726497
"259",350,TRUE,"with Allee effect",0.628031222613006,2.05893439525607
"260",351,FALSE,"without Allee effect",0.833616402064175,1.74920732423235
"261",352,TRUE,"with Allee effect",0.813340215437438,1.859475462299
"262",353,FALSE,"without Allee effect",0.997057473544857,1.97985102270257
"263",354,TRUE,"with Allee effect",0.343353934287359,3.37236475326851
"264",355,FALSE,"without Allee effect",1.15883709798699,2.25627456563157
"265",356,TRUE,"with Allee effect",1.28857400851056,2.47026530147663
"266",357,FALSE,"without Allee effect",0.632268215499468,1.84671480320744
"267",358,TRUE,"with Allee effect",0.81382082217033,2.71308561224064
"268",362,TRUE,"with Allee effect",0.796526666127026,1.94925357836632
"269",363,FALSE,"without Allee effect",1.10494251735298,2.18363407788803
"270",364,TRUE,"with Allee effect",0.919951129115464,1.91793360555212
"271",366,TRUE,"with Allee effect",0.842254300687773,2.1424381793619
"272",367,FALSE,"without Allee effect",1.36816012625212,2.26016783710769
"273",368,TRUE,"with Allee effect",0.63117423587883,2.69263061672723
"274",369,FALSE,"without Allee effect",0.767552607639159,1.72329427088595
"275",370,TRUE,"with Allee effect",0.442747629389964,6.11920567222197
"276",371,FALSE,"without Allee effect",1.21685525438467,2.13091111535507
"277",372,TRUE,"with Allee effect",0.858537927690918,2.51312951745188
"278",373,FALSE,"without Allee effect",1.03275123104347,2.09995795394409
"279",374,TRUE,"with Allee effect",0.277908016760516,4.48671052648868
"280",378,TRUE,"with Allee effect",0.625677740399017,2.29732824487338
"281",379,FALSE,"without Allee effect",1.11578365130923,1.59463249755891
"282",380,TRUE,"with Allee effect",0.389032760693406,4.85997820244626
"283",383,FALSE,"without Allee effect",1.12650190197797,1.63162450140233
"284",384,TRUE,"with Allee effect",0.0283563005432412,3.51224039375242
"285",385,FALSE,"without Allee effect",1.41669068403316,2.04418208021835
"286",386,TRUE,"with Allee effect",1.16365815931697,1.74658556998138
"287",388,TRUE,"with Allee effect",0.870362972355224,3.32083857541155
"288",390,TRUE,"with Allee effect",0.742382623838668,3.12065344626387
"289",391,FALSE,"without Allee effect",0.496778248567718,2.26931807773361
"290",392,TRUE,"with Allee effect",0.929910943737687,2.46708272411017
"291",395,FALSE,"without Allee effect",0.691877704637669,1.88719399586436
"292",396,TRUE,"with Allee effect",0.673941381802335,2.54522346813827
